mysql> use instagram_clone_db;
Database changed
mysql> show tables;
+------------------------------+
| Tables_in_instagram_clone_db |
+------------------------------+
| comments                     |
| follows                      |
| likes                        |
| photo_tags                   |
| photos                       |
| tags                         |
| users                        |
+------------------------------+
7 rows in set (0.03 sec)

mysql> select*from users;
+-----+-----------------------+---------------------+
| id  | username              | created_at          |
Query OK, 5 rows affected (0.01 sec)
Records: 5  Duplicates: 0  Warnings: 0

mysql> SELECT * FROM suppliers;
+-------------+----------------------+----------------+------------+
| supplier_id | supplier_name        | contact_person | phone      |
+-------------+----------------------+----------------+------------+
|           1 | Apollo Distributors  | Rajesh Gupta   | 022-123456 |
|           2 | MedPlus Supply Chain | Suresh Nair    | 040-987654 |
|           3 | Himalaya Wellness    | Anjali Mehta   | 011-456789 |
+-------------+----------------------+----------------+------------+
3 rows in set (0.00 sec)

mysql> INSERT INTO orders
    -> (customer_id, order_date, total_amount, payment_mode)
    -> VALUES
    -> (1, '2023-10-01', 150.00, 'UPI'),
    -> (2, '2023-10-02', 240.00, 'Card'),
    -> (3, '2023-10-05', 45.00, 'Cash'),
    -> (1, '2023-10-10', 800.00, 'UPI'),
    -> (4, '2023-10-12', 1200.00, 'Card');
Query OK, 5 rows affected (0.01 sec)
Records: 5  Duplicates: 0  Warnings: 0

mysql> INSERT INTO order_items
    -> (order_id, medicine_id, quantity, subtotal)
    -> VALUES
    -> (1, 1, 5, 150.00),
    -> (2, 2, 2, 240.00),
    -> (3, 4, 1, 45.00),
    -> (4, 5, 1, 800.00),
    -> (5, 5, 1, 800.00),
    -> (5, 2, 2, 240.00),
    -> (5, 1, 5, 150.00);
ERROR 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`jeevan_raksha_pharmacy`.`order_items`, CONSTRAINT `order_items_ibfk_2` FOREIGN KEY (`medicine_id`) REFERENCES `medicines` (`medicine_id`))
mysql> INSERT INTO order_items
    -> (order_id, medicine_id, quantity, subtotal)
    -> VALUES
    -> (1, 1, 5, 150.00),
    -> (2, 2, 2, 240.00),
    -> (3, 4, 1, 45.00),
    -> (4, 5, 1, 800.00),
    -> (5, 5, 1, 800.00),
    -> (5, 2, 2, 240.00),
    -> (5, 1, 5, 150.00);
ERROR 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`jeevan_raksha_pharmacy`.`order_items`, CONSTRAINT `order_items_ibfk_2` FOREIGN KEY (`medicine_id`) REFERENCES `medicines` (`medicine_id`))
mysql> SELECT * FROM medicines;
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
| medicine_id | name         | category  | price  | stock_quantity | expiry_date | supplier_id |
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
|           6 | Dolo 650     | Tablet    |  30.00 |            500 | 2025-12-31  |           1 |
|           7 | Azithral 500 | Tablet    | 120.00 |             50 | 2024-05-20  |           1 |
|           8 | Benadryl     | Syrup     | 110.00 |             20 | 2024-11-15  |           2 |
|           9 | Combiflam    | Tablet    |  45.00 |            200 | 2026-01-01  |           3 |
|          10 | Insulin Pen  | Injection | 800.00 |              5 | 2024-03-10  |           2 |
+-------------+--------------+-----------+--------+----------------+-------------+-------------+
5 rows in set (0.00 sec)

mysql> SELECT * FROM orders;
+----------+-------------+------------+--------------+--------------+
| order_id | customer_id | order_date | total_amount | payment_mode |
+----------+-------------+------------+--------------+--------------+
|        1 |           1 | 2023-10-01 |       150.00 | UPI          |
|        2 |           2 | 2023-10-02 |       240.00 | Card         |
|        3 |           3 | 2023-10-05 |        45.00 | Cash         |
|        4 |           1 | 2023-10-10 |       800.00 | UPI          |
|        5 |           4 | 2023-10-12 |      1200.00 | Card         |
+----------+-------------+------------+--------------+--------------+
5 rows in set (0.00 sec)

mysql> SELECT * FROM order_items;
Empty set (0.00 sec)

mysql> SELECT customer_name, city
    -> FROM customers;
ERROR 1054 (42S22): Unknown column 'customer_name' in 'field list'
mysql> SELECT name, city
    -> FROM customers;
+--------------+-----------+
| name         | city      |
+--------------+-----------+
| Rahul Sharma | Mumbai    |
| Priya Verma  | Delhi     |
| Amit Patel   | Ahmedabad |
| Sneha Reddy  | Hyderabad |
| Vikram Singh | Mumbai    |
+--------------+-----------+
5 rows in set (0.00 sec)

mysql> stock check :find the names of medicines that are 'syrup'or 'injection'.
    -> ^C
mysql> SELECT name
    -> FROM medicines
    -> WHERE category IN ('Syrup', 'Injection');
+-------------+
| name        |
+-------------+
| Benadryl    |
| Insulin Pen |
+-------------+
2 rows in set (0.00 sec)

mysql> select *from orders where total_amount>500;
+----------+-------------+------------+--------------+--------------+
| order_id | customer_id | order_date | total_amount | payment_mode |
+----------+-------------+------------+--------------+--------------+
|        4 |           1 | 2023-10-10 |       800.00 | UPI          |
|        5 |           4 | 2023-10-12 |      1200.00 | Card         |
+----------+-------------+------------+--------------+--------------+
2 rows in set (0.00 sec)

mysql> select name,phone from customer where city='mumbai';
ERROR 1146 (42S02): Table 'jeevan_raksha_pharmacy.customer' doesn't exist
mysql> SELECT name, phone
    -> FROM customers
    -> WHERE city = 'Mumbai';
+--------------+------------+
| name         | phone      |
+--------------+------------+
| Rahul Sharma | 9876543210 |
| Vikram Singh | 7766554433 |
+--------------+------------+
2 rows in set (0.00 sec)

mysql> select *from orders;
+----------+-------------+------------+--------------+--------------+
| order_id | customer_id | order_date | total_amount | payment_mode |
+----------+-------------+------------+--------------+--------------+
|        1 |           1 | 2023-10-01 |       150.00 | UPI          |
|        2 |           2 | 2023-10-02 |       240.00 | Card         |
|        3 |           3 | 2023-10-05 |        45.00 | Cash         |
|        4 |           1 | 2023-10-10 |       800.00 | UPI          |
|        5 |           4 | 2023-10-12 |      1200.00 | Card         |
+----------+-------------+------------+--------------+--------------+
5 rows in set (0.00 sec)

mysql> select  c.name,o.order_date,o.total_amount from customers c
    -> join order o
    -> on c.customer_id=o.customer_id;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'order o
on c.customer_id=o.customer_id' at line 2
mysql> ^C
mysql> SELECT c.name,
    ->        o.order_date,
    ->        o.total_amount
    -> FROM customers c
    -> JOIN `order` o
    -> ON c.customer_id = o.customer_id;
ERROR 1146 (42S02): Table 'jeevan_raksha_pharmacy.order' doesn't exist
mysql> Terminal close -- exit!
